rxn_id_INCA,rxn_id
v1,EX_glc_LPAREN_e_RPAREN_
v2,PGI
v3,PFK
v4,FBA
v5,TPI
v6,GAPD_PGK
v7,PGM
v8,ENO
v9,G6PDH2r_PGL
v10,GND
v11,RPE
v12,RPI
v13,TKT2a
v14,TKT2b
v15,TKT1a
v16,TKT1b
v17,TALA
v18,EDD
v19,EDA
v20,PDH
v21,CS
v22,ACONTa_ACONTb
v23,ICDHyr
v24,AKGDH
v25,SUCCOAS
v26,SUCDi
v27,FUM
v28,MDH
v29,ICL
v30,MALS
v31,ME1
v32,ME2
v33,PPC
v34,PPCK
v35,PTAr_ACKr_ACS
v36,GluSYN
v37,GLNS
v38,ProSYN
v39,ArgSYN
v40,ASPTA
v41,ASNN
v42,ALATA_L
v43,SerSYN
v44,GHMT2r
v45,MlthfSYN
v46,THRD_GLYAT
v47,SERAT_CYSS
v48 ,26dap_DASH_MSYN
v49,DAPDC
v50,ThrSYN
v51,MetSYN
v52,ValSYN
v53,LeuSYN
v54,IleSYN
v55,PheSYN
v56,TyrSYN
v57,TrpSYN
v58,HisSYN
v59,MTHFD
v60,MTHFC
v61,NADH_CYTBD_HYD_ATPS4r
v62,FADR_NADH_CYTBD_HYD_ATPS4r
v63,NADTRHD_THD2pp
v64,ATPM
v65,EX_ac_LPAREN_e_RPAREN_
v66,EX_co2_LPAREN_e_RPAREN_
v67,EX_o2_LPAREN_e_RPAREN_
v68,EX_nh4_LPAREN_e_RPAREN_
v69,EX_so4_LPAREN_e_RPAREN_
v70,Ec_Biomass_INCA
v71,EX_co2_LPAREN_e_RPAREN__unlabeled
